Time,ICCID(SIM ID),Arbitrary Column,Connection Event,Bytes Used,NodeID
2022-03-11 02:42:58.315668,1111111111,xyz,Connected,0,A000001
2022-03-11 02:42:58.315668,2222222222,xyz,Connected,0,A000002
2022-03-11 02:42:58.315668,3333333333,xyz,Connected,0,A000003
2022-03-11 02:42:58.315668,4444444444,xyz,Connected,0,A000004
2022-03-11 02:42:58.315668,5555555555,xyz,Connected,0,A000005
2022-03-11 02:42:58.344845,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:42:58.344845,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:42:58.344845,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:42:58.344845,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:42:58.344845,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:42:58.360409,1111111111,xyz,Connected,0,A000001
2022-03-11 02:42:58.360409,2222222222,xyz,Connected,0,A000002
2022-03-11 02:42:58.360906,3333333333,xyz,Connected,0,A000003
2022-03-11 02:42:58.360906,4444444444,xyz,Connected,0,A000004
2022-03-11 02:42:58.360906,5555555555,xyz,Connected,0,A000005
2022-03-11 02:42:58.391931,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:42:58.391931,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:42:58.391931,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:42:58.391931,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:42:58.391931,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:42:58.408015,1111111111,xyz,Connected,0,A000001
2022-03-11 02:42:58.408015,2222222222,xyz,Connected,0,A000002
2022-03-11 02:42:58.408015,3333333333,xyz,Connected,0,A000003
2022-03-11 02:42:58.408015,4444444444,xyz,Connected,0,A000004
2022-03-11 02:42:58.408015,5555555555,xyz,Connected,0,A000005
2022-03-11 02:42:58.438907,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:42:58.438907,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:42:58.438907,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:42:58.438907,4444444444,xyz,Disconnected,2000,A000004
2022-03-11 02:42:58.438907,5555555555,xyz,Disconnected,2000,A000005
2022-03-11 02:42:58.454859,1111111111,xyz,Connected,0,A000001
2022-03-11 02:42:58.454859,2222222222,xyz,Connected,0,A000002
2022-03-11 02:42:58.454859,3333333333,xyz,Connected,0,A000003
2022-03-11 02:42:58.454859,4444444444,xyz,Connected,0,A000004
2022-03-11 02:42:58.454859,5555555555,xyz,Connected,0,A000005
2022-03-11 02:42:58.486751,1111111111,xyz,Disconnected,2000,A000001
2022-03-11 02:42:58.486751,2222222222,xyz,Disconnected,2000,A000002
2022-03-11 02:42:58.486751,3333333333,xyz,Disconnected,2000,A000003
2022-03-11 02:42:58.486751,4444444444,xyz,Disconnected,2000,A000004
